Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System1,Planet1,590.43,590.43,0.24,0.73,63.52,Y,No
System1,Planet2,24.4,24.4,0.17,0.67,-12.72,N,No
System1,Planet3,919.78,919.78,0.15,0.33,89.49,Y,No
System2,Planet1,1066.38,1066.38,0.13,0.57,1.93,Y,No
System2,Planet2,373.54,373.54,0.13,0.67,88.2,N,No
System2,Planet3,23.12,23.12,0.3,0.32,65.42,N,No
System3,Planet1,6.44,6.44,0.28,0.33,32.55,Y,No
System3,Planet2,177.51,177.51,0.2,0.68,-17.23,Y,No
System3,Planet3,298.58,298.58,0.14,0.46,10.17,N,No
System4,Planet1,1103.82,1103.82,0.29,0.73,-8.24,Y,No
System4,Planet2,962.75,962.75,0.21,0.33,7.64,N,No
System4,Planet3,633.85,633.85,0.1,0.75,96.92,Y,No
System5,Planet1,726.72,726.72,0.3,0.77,-8.8,N,No
System5,Planet2,1295.57,1295.57,0.17,0.76,33.3,Y,No
System5,Planet3,1219.28,1219.28,0.2,0.43,73.95,Y,No
System6,Planet1,157.74,157.74,0.18,0.57,99.06,N,No
System6,Planet2,777.67,777.67,0.17,0.48,41.64,Y,No
System6,Planet3,1001.17,1001.17,0.26,0.7,55.85,N,No
System7,Planet1,616.68,616.68,0.24,0.49,42.32,Y,No
System7,Planet2,990.36,990.36,0.2,0.58,37.32,Y,No
System7,Planet3,151.46,151.46,0.22,0.74,-28.12,N,No
System8,Planet1,1275.08,1275.08,0.12,0.5,-5.59,N,No
System8,Planet2,74.97,74.97,0.2,0.7,-15.96,Y,No
System8,Planet3,1395.85,1395.85,0.17,0.55,18.5,N,No
System9,Planet1,597.0,597.0,0.17,0.53,9.88,Y,No
System9,Planet2,538.9,538.9,0.2,0.69,-21.44,N,No
System9,Planet3,1441.72,1441.72,0.24,0.32,55.54,Y,No
System10,Planet1,604.17,604.17,0.21,0.73,-1.53,Y,No
System10,Planet2,568.98,568.98,0.22,0.71,73.23,N,No
System10,Planet3,275.88,275.88,0.19,0.64,90.99,Y,No
System11,Planet1,268.27,268.27,0.2,0.54,26.55,N,No
System11,Planet2,428.83,428.83,0.22,0.35,89.31,N,No
System11,Planet3,333.67,333.67,0.22,0.4,68.06,N,No
System12,Planet1,885.99,885.99,0.24,0.73,19.59,N,No
System12,Planet2,812.43,812.43,0.17,0.71,80.24,N,No
System12,Planet3,620.37,620.37,0.28,0.56,-2.29,N,No
System13,Planet1,1179.2,1179.2,0.18,0.71,20.49,Y,No
System13,Planet2,1195.56,1195.56,0.27,0.34,33.16,N,No
System13,Planet3,62.43,62.43,0.27,0.4,40.39,Y,No
System14,Planet1,1113.82,1113.82,0.28,0.64,62.43,Y,No
